cncode_id,cncode,cncode_active,commodity_id
271,0406 40 10,1,12
272,0406 40 50,1,12
273,0406 40 90,1,12
274,0406 90 01,1,12
275,0406 90 13,1,12
276,0406 90 15,1,12
277,0406 90 17,1,12
278,0406 90 18,1,12
279,0406 90 21,1,12
280,0406 90 21 20,1,12
281,0406 90 23,1,12
282,0406 90 25,1,12
283,0406 90 29,1,12
284,0406 90 32,1,12
285,0406 90 35,1,12
286,0406 90 37,1,12
287,0406 90 39,1,12
288,0406 90 50,1,12
289,0406 90 61,1,12
290,0406 90 63,1,12
291,0406 90 69,1,12
292,0406 90 73,1,12
293,0406 90 74,1,12
294,0406 90 75,1,12
295,0406 90 76,1,12
296,0406 90 78,1,12
297,0406 90 79,1,12
298,0406 90 81,1,12
299,0406 90 82,1,12
300,0406 90 84,1,12
301,0406 90 85,1,12
302,0406 90 86,1,12
303,0406 90 89,1,12
304,0406 90 92,1,12
305,0406 90 93,1,12
306,0406 90 99,1,12
307,0207 11 10,1,9
308,0207 11 30,1,9
309,0207 11 90,1,9
310,0207 12 10,1,9
311,0207 12 90,1,9
312,0207 13 10,1,9
313,0207 13 20,1,9
314,0207 13 30,1,9
315,0207 13 40,1,9
316,0207 13 50,1,9
317,0207 13 60,1,9
318,0207 13 70,1,9
319,0207 13 99,1,9
320,0207 14 10,1,9
321,0207 14 20,1,9
322,0207 14 30,1,9
323,0207 14 40,1,9
324,0207 14 50,1,9
325,0207 14 60,1,9
326,0207 14 70,1,9
327,0207 14 99,1,9
328,0207 24 10,1,9
329,0207 24 90,1,9
330,0207 25 10,1,9
331,0207 25 90,1,9
332,0207 26 10,1,9
333,0207 26 20,1,9
334,0207 26 30,1,9
335,0207 26 40,1,9
336,0207 26 50,1,9
337,0207 26 60,1,9
338,0207 26 70,1,9
339,0207 26 80,1,9
340,0207 26 99,1,9
341,0207 27 10,1,9
342,0207 27 20,1,9
343,0207 27 30,1,9
344,0207 27 40,1,9
345,0207 27 50,1,9
346,0207 27 60,1,9
347,0207 27 70,1,9
348,0207 27 80,1,9
349,0207 27 99,1,9
350,0207 41 30,1,9
351,0207 41 80,1,9
352,0207 42 30,1,9
